date,opponent,venue,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-01,LA Valley,Home,55,dreb,2,11:02,79,56,23,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,56,made_fg,2,11:02,79,56,23,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,made,,1,,,,,,,,2,
2025-11-01,LA Valley,Home,57,turnover,2,10:00,83,58,25,,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,foul,,,,,,,nonshoot,1,1,2,,1,
2025-11-01,LA Valley,Home,57,turnover,2,10:00,83,58,25,,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,turnover,,,,,,,,,,,offfoul,0,
2025-11-01,LA Valley,Home,58,made_fg,2,9:36,87,59,28,,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,shot,2pa,made,1,1,,,,,,,,2,
2025-11-01,LA Valley,Home,59,dreb,2,9:36,87,59,28,,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,59,dreb,2,9:36,87,59,28,,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,60,made_ft,2,9:36,87,59,28,,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,foul,,,,,,,shooting,,2,2,,2,
2025-11-01,LA Valley,Home,61,turnover,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,turnover,,,,,,,,,,,deadball,0,
2025-11-01,LA Valley,Home,62,made_fg,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,shot,2pa,made,1,1,,,,,,,,2,
2025-11-01,LA Valley,Home,63,dreb,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,foul,,,,,,,shooting,,1,2,,1,
2025-11-01,LA Valley,Home,63,dreb,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,63,dreb,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,63,dreb,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,foul,,,,,,,nonshoot,1,1,2,,1,
2025-11-01,LA Valley,Home,63,dreb,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,64,made_ft,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,deflection,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,64,made_ft,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,64,made_ft,2,8:22,93,62,31,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,foul,,,,,,,nonshoot,1,1,2,,1,
2025-11-01,LA Valley,Home,65,made_ft,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,foul,,,,,,,nonshoot,1,2,2,,2,
2025-11-01,LA Valley,Home,66,steal,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,67,dreb,2,8:22,93,62,31,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,shot,3pa,missed,,,,,,,,,,0,
